Toy Manufacturer,Car Manufacturer,Toy Car Name,Car Year,Toy Year,Color,Variant,Pack
a0K2v00000ulvryEAA,a0L2v00001rNQD0EAO,Tooned '69 Camaro Z28,1969,,Green and Black,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD0EAO,64 Chevy Nova Gasser,1964,,Sky Blue,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD4EAO,69 Dodge Daytona,1969,,Orange,,Singles
a0K2v00000ulvs3EAA,a0L2v00001rNQCzEAO,63 Hearse,1963,,Green,,5-pack
a0K2v00000ulvsSEAQ,a0L2v00001rNUx1EAG,Skyline GTR,,,Silver,,
a0K2v00000ulvryEAA,a0L2v00001rNQD7EAO,32 Hot Rod,1932,,Golden,,Singles
a0K2v00000ulvs3EAA,a0L2v00001rNQD4EAO,Viper RT/10,,,Maroon,,5-pack
a0K2v00000ulvs3EAA,a0L2v00001rNQD7EAO,56 Pickup,1956,,Yellow,,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQDEEA4,Series 3 Pickup,,,Sky Blue,,Singles
a0K2v00000ulwpzEAA,a0L2v00001rNQD6EAO,F50,,,Red,,Assemble
a0K2v00000ulwpzEAA,a0L2v00001rNQD4EAO,Viper,,,Blue,,Assemble
a0K2v00000ulwpzEAA,a0L2v00001rNQD6EAO,512 TR,,,Red,,Assemble
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Burl-Esque,,,Blue,X-Raycers,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Lakester,,,Brown,Pirates,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Split Vision,,,Yellow,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Horseplay,,,Yellow,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,16 Angels,,,Violet,,Track
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Bone Shaker,,,Grey,Pirates,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Bon Voyage,,,Gold and Silver,Pirates,5-pack
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Surf Crate,,,Black,Pirates,5-pack
a0L2v00001rNQD5EAO,a0L2v00001rNQD5EAO,SE-51,,,Grey,,Singles
a0K2v00000ulvsNEAQ,a0L2v00001rNQD0EAO,Corvette,,,White,,Singles
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,CCM Country Club Muscle,,,Yellow,,
a0K2v00000ulvryEAA,a0L2v00001rNQD7EAO,Deuce Roadster,,,Black,,
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Ultra Rage,,,Yellow,,
a0K2v00000ulvryEAA,a0L2v00001rNQD0EAO,69 Chevelle,1969,,Green,X-Raycers,
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Nitrium,,,Silver and Violet,,
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Buzz Bomb,,,Blue and Orange,,
a0K2v00000ulvryEAA,a0L2v00001rNQD5EAO,Arachnorod,,,Grey,,
